fecha,flujo,desde,hasta,sub_kpi,valor,fuente,plan,temporalidad
8/20/2024,c,agua_nueva,control_polvo,cerro_las_antena,18301,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,cerro_las_antena,18301,Disco Compartido,Real,Dia
8/20/2024,B,agua_mineral,area_seca,chancado_primario,20,Disco Compartido,Real,Dia
8/20/2024,h,sx_ew,area_seca,demin,125732,Disco Compartido,Real,Dia
8/20/2024,g,area_seca,sx_ew,demin,125732,Disco Compartido,Real,Dia
8/20/2024,b,agua_nueva,sx_ew,demin,125732,Disco Compartido,Real,Dia
8/20/2024,B,agua_mineral,area_seca,humedad_pila,0.5,Disco Compartido,Real,Dia
8/20/2024,a,agua_nueva,area_seca,make_up_fresca_a_tk,140815.25,Disco Compartido,Real,Dia
8/20/2024,a,agua_nueva,area_seca,piscina_dl,2230.53,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_1,3956.67,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_2,3794.21,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_3,4970.39,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_4,5700.64,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_5,0,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,pozo_6,0,Disco Compartido,Real,Dia
8/20/2024,D,tsf,retencion,relaves,41300.83,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,total_mina_m3,1146.62,Disco Compartido,Real,Dia
8/20/2024,C,aguas_halladas,control_polvo,total_mina_m3,1146.62,Disco Compartido,Real,Dia
8/20/2024,D,tsf,retencion,w0,0.61,Disco Compartido,Real,Dia
8/20/2024,c,agua_nueva,control_polvo,agua_a_chancado,100.02,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,agua_a_chancado,100.02,Disco Compartido,Real,Dia
8/20/2024,J,tsf,infiltracion,infiltracion_promedio_final,4.75,Disco Compartido,Real,Dia
8/20/2024,F,tsf,evaporacion,evaporacion_total,9161.84,Disco Compartido,Real,Dia
8/20/2024,F,tsf,evaporacion,resaturacion_total,5154.01,Disco Compartido,Real,Dia
8/20/2024,G,area_seca,evaporacion,evap_total_pilas,195923.78,Disco Compartido,Real,Dia
8/20/2024,G,area_seca,evaporacion,evap_piscina_reservorio,3732.15,Disco Compartido,Real,Dia
8/20/2024,I,agua_nueva,evaporacion,evap_piscina_reservorio_total,3571.34,Disco Compartido,Real,Dia
8/20/2024,G,area_seca,evaporacion,evap_total_piscinas,14702.81,Disco Compartido,Real,Dia
8/20/2024,E,area_seca,retencion,retencion_hl,1500,Disco Compartido,Real,Dia
8/20/2024,E,area_seca,retencion,retencion_dl,2712.37,Disco Compartido,Real,Dia
8/20/2024,E,area_seca,retencion,retencion_ral,13324.01,Disco Compartido,Real,Dia
8/20/2024,E,area_seca,retencion,perdidas_concentrado,25.19,Disco Compartido,Real,Dia
8/20/2024,j,ptas,control_polvo,potable_m3_mes,450.27,Disco Compartido,Real,Dia
8/20/2024,i,servicios,ptas,potable_m3_mes,450.27,Disco Compartido,Real,Dia
8/20/2024,d,agua_nueva,servicios,potable_m3_mes,450.27,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,potable_m3_mes,450.27,Disco Compartido,Real,Dia
8/20/2024,h,sx_ew,area_seca,pls_m3_mes,3496214.83,Disco Compartido,Real,Dia
8/20/2024,a,agua_nueva,area_seca,rechazo_total_corregido,164942.17,Disco Compartido,Real,Dia
8/20/2024,A,suministro_agua,agua_nueva,suministro_a_agua_nueva,18421.91,Disco Compartido,Real,Dia
8/20/2024,C,aguas_halladas,control_polvo,aguas_halladas_a_control_polvo,1.15,Disco Compartido,Real,Dia
8/20/2024,D,tsf,retencion,tsf_a_retencion,0.03,Disco Compartido,Real,Dia
8/20/2024,E,area_seca,retencion,area_seca_a_retencion,17.54,Disco Compartido,Real,Dia
8/20/2024,F,tsf,evaporacion,tsf_a_evaporacion,14.32,Disco Compartido,Real,Dia
8/20/2024,G,area_seca,evaporacion,area_seca_a_evaporacion,207.06,Disco Compartido,Real,Dia
8/20/2024,c,agua_nueva,control_polvo,agua_nueva_a_control_polvo,38.87,Disco Compartido,Real,Dia
8/20/2024,d,agua_nueva,servicios,agua_nueva_a_servicio,18.75,Disco Compartido,Real,Dia
8/20/2024,a,agua_nueva,area_seca,agua_nueva_a_area_seca,307.99,Disco Compartido,Real,Dia
8/20/2024,I,agua_nueva,evaporacion,agua_nueva_a_evaporacion,3.57,Disco Compartido,Real,Dia
8/20/2024,b,agua_nueva,sx_ew,agua_nueva_a_sx_ew,125.73,Disco Compartido,Real,Dia
8/20/2024,B,agua_mineral,area_seca,agua_mineral_a_area_seca,0.64,Disco Compartido,Real,Dia
8/20/2024,g,area_seca,sx_ew,area_seca_a_sx_ew,3496.21,Disco Compartido,Real,Dia
8/20/2024,f,area_seca,tsf,area_seca_a_tsf,82.31,Disco Compartido,Real,Dia
8/20/2024,j,ptas,control_polvo,ptas_a_control_polvo,18.75,Disco Compartido,Real,Dia
8/20/2024,i,servicios,ptas,servicios_a_ptas,18.75,Disco Compartido,Real,Dia
8/20/2024,h,sx_ew,area_seca,sx_ew_a_area_seca,3621.95,Disco Compartido,Real,Dia
8/20/2024,e,tsf,area_seca,tsf_a_area_seca,13.07,Disco Compartido,Real,Dia
8/20/2024,J,tsf,infiltracion,tsf_a_infiltracion,4.75,Disco Compartido,Real,Dia
8/20/2024,H,control_polvo,evaporacion,control_polvo_a_evaporacion,58.77,Disco Compartido,Real,Dia
9/15/2024,f,area_seca,tsf,agua_a_atranque,0,Disco Compartido,Real,Dia
9/15/2024,j,ptas,control_polvo,agua_incendio,0,Disco Compartido,Real,Dia
9/15/2024,i,servicios,ptas,agua_incendio,0,Disco Compartido,Real,Dia
9/15/2024,d,agua_nueva,servicios,agua_incendio,0,Disco Compartido,Real,Dia
9/15/2024,H,control_polvo,evaporacion,agua_incendio,0,Disco Compartido,Real,Dia
9/15/2024,e,tsf,area_seca,agua_recuperada_tranque_relaves,0,Disco Compartido,Real,Dia
9/15/2024,B,agua_mineral,area_seca,apilado_dl,0,Disco Compartido,Real,Dia
9/15/2024,c,agua_nueva,control_polvo,cachimba_mina,0,Disco Compartido,Real,Dia
9/15/2024,H,control_polvo,evaporacion,cachimba_mina,0,Disco Compartido,Real,Dia
9/15/2024,c,agua_nueva,control_polvo,cerro_las_antena,0,Disco Compartido,Real,Dia
9/15/2024,H,control_polvo,evaporacion,cerro_las_antena,0,Disco Compartido,Real,Dia
9/15/2024,B,agua_mineral,area_seca,chancado_primario,0,Disco Compartido,Real,Dia
9/15/2024,h,sx_ew,area_seca,demin,0,Disco Compartido,Real,Dia
9/15/2024,g,area_seca,sx_ew,demin,0,Disco Compartido,Real,Dia
9/15/2024,b,agua_nueva,sx_ew,demin,0,Disco Compartido,Real,Dia
9/15/2024,B,agua_mineral,area_seca,humedad_pila,0,Disco Compartido,Real,Dia
9/15/2024,a,agua_nueva,area_seca,make_up_fresca_a_tk,0,Disco Compartido,Real,Dia
9/15/2024,a,agua_nueva,area_seca,piscina_dl,0,Disco Compartido,Real,Dia
9/15/2024,A,suministro_agua,agua_nueva,pozo_1,0,Disco Compartido,Real,Dia
9/15/2024,A,suministro_agua,agua_nueva,pozo_2,0,Disco Compartido,Real,Dia
